supplier_id,date,region,category,risk_score,rolling_lead_time_7d,lead_time_variance_7d,inventory_coverage,supplier_reliability,rolling_sentiment_7d,sentiment_velocity,negative_news_count_7d,sentiment_score_daily,article_count
SUP-1000,2025-06-15,North America,Electronics,72.5,28.0,0.0,22.0,0.942,,,0,,0
SUP-1000,2025-06-16,North America,Electronics,72.5,28.0,0.0,22.0,0.942,,,0,,0
SUP-1000,2025-06-17,North America,Electronics,72.5,28.0,0.0,22.0,0.942,,,0,,0
SUP-1000,2025-06-18,North America,Electronics,72.5,28.0,0.0,22.0,0.942,,,0,,0
SUP-1000,2025-06-19,North America,Electronics,72.5,28.0,0.0,22.0,0.942,,,0,,0
SUP-1000,2025-06-20,North America,Electronics,72.5,28.0,0.0,22.0,0.942,,,0,,0
SUP-1000,2025-06-21,North America,Electronics,72.5,28.0,0.0,22.0,0.942,,,0,,0
SUP-1000,2025-06-22,North America,Electronics,72.5,28.0,0.0,22.0,0.942,,,0,,0
SUP-1000,2025-06-23,North America,Electronics,72.5,28.0,0.0,22.0,0.942,,,0,,0
SUP-1000,2025-06-24,North America,Electronics,72.5,28.0,0.0,22.0,0.942,,,0,,0
SUP-1000,2025-06-25,North America,Electronics,72.5,28.0,0.0,22.0,0.942,,,0,,0
SUP-1000,2025-06-26,North America,Electronics,72.5,28.0,0.0,22.0,0.942,,,0,,0
SUP-1000,2025-06-27,North America,Electronics,72.5,28.0,0.0,22.0,0.942,,,0,,0
SUP-1000,2025-06-28,North America,Electronics,72.5,28.0,0.0,22.0,0.942,,,0,,0
SUP-1000,2025-06-29,North America,Electronics,72.5,28.0,0.0,22.0,0.942,,,0,,0
SUP-1000,2025-06-30,North America,Electronics,72.5,28.0,0.0,22.0,0.942,,,0,,0
SUP-1000,2025-07-01,North America,Electronics,72.5,28.0,0.0,22.0,0.942,0.967,,0,0.967,2
SUP-1000,2025-07-02,North America,Electronics,72.5,28.0,0.0,22.0,0.942,0.967,,0,,0
SUP-1000,2025-07-03,North America,Electronics,72.5,28.0,0.0,22.0,0.942,0.967,,0,,0
SUP-1000,2025-07-04,North America,Electronics,72.5,28.0,0.0,22.0,0.942,0.967,,0,,0
SUP-1000,2025-07-05,North America,Electronics,72.5,28.0,0.0,22.0,0.942,0.9726,,0,0.9783,1
SUP-1001,2025-07-02,Europe,Logistics,45.2,18.0,0.0,30.0,0.975,0.0207,,1,0.0207,1
SUP-1001,2025-07-03,Europe,Logistics,45.2,18.0,0.0,30.0,0.975,0.0172,-0.007,2,0.0137,1
SUP-1002,2025-05-01,Europe,Logistics,45.2,18.0,0.0,30.0,0.975,,,0,,0
SUP-1002,2025-05-02,Europe,Logistics,45.2,18.0,0.0,30.0,0.975,,,0,,0
SUP-1002,2025-05-03,Europe,Logistics,45.2,18.0,0.0,30.0,0.975,,,0,,0
SUP-1002,2025-05-04,Europe,Logistics,45.2,18.0,0.0,30.0,0.975,,,0,,0
SUP-1002,2025-05-05,Europe,Logistics,45.2,18.0,0.0,30.0,0.975,,,0,,0
SUP-1002,2025-05-06,Europe,Logistics,45.2,18.0,0.0,30.0,0.975,,,0,,0
SUP-1002,2025-05-07,Europe,Logistics,45.2,18.0,0.0,30.0,0.975,,,0,,0
